unified_id,source_file,type,price,area,bedrooms,bathrooms,city,region,address,level,furnished,rent,lat,lng
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_823,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,10000.0,100.0,,,alexandria,El Mandara Bahri,المندرة,,,,31.276629461124212,30.003601833668654
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_824,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,75000.0,188.0,,,cairo,Park Corner - Hyde Park Compound	,Apartment for rent in Hyde park compound,,,,29.9682221,31.5474712
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_825,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,50000.0,138.0,,,cairo,The Square Compound - Sabbour,كمبوند ذا سكوير التجمع الخامس ,,,,29.997,31.551
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_826,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,18000.0,200.0,,,cairo,Northern 90th St.,"Furnished apartment for rent in the Fifth Settlement, next to the Egyptian Language School",,,,30.021,31.43
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_827,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,60000.0,145.0,,,cairo,Lake View Residence - El Hazek,ليك فيو,,,,30.024344232386,31.53848497197
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_828,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,35000.0,100.0,,,cairo,El Ashrafia Compound - Arabia,كمبوند الاشرافيه .التجمع الخامس ,,,,30.037,31.482
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_829,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,50000.0,90.0,,,cairo,Ahmed Rami St.,"شارع أحمد رامي, المرحله الأولى",,,,30.06410922,31.49683264
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_830,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,25000.0,90.0,,,cairo,Madinet El Sahafyeen,التجمع الاول ,,,,30.039,31.486
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_831,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,42000.0,170.0,,,cairo,Nagib Al Rehani St.,"شارع نجيب الريحاني, المرحله الثالثه",,,,30.06463436,31.48187214
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_832,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,27000.0,120.0,,,cairo,Saqr Koraysh St.,صقر قريش,,,,30.104,31.375
